"","X","name","circuit","num_kids","girls","sons","woman","yearb","race","religion","republican","progressive_vote"
"126",137,"Lynch, Sandra",1,1,0,1,1,1946,1,4,0,0.411764706
"127",138,"Magill, Frank J.",8,1,0,1,0,1927,1,4,1,0.208333333
"128",139,"Mahoney, J. Daniel",2,6,3,3,0,1931,1,4,1,1
"129",140,"Manion, Daniel A.",7,0,0,0,0,1942,1,4,1,0.195121951
"130",141,"Mansmann, Carol Los",3,4,1,3,1,1942,1,4,1,0.333333333
"131",142,"Marcus, Stanley",11,2,1,1,0,1946,1,5,1,0.625
"132",143,"Martin, Boyce F., Jr.",6,4,2,2,0,1935,1,2,0,0.5
"133",144,"McKay, Monroe G.",10,9,5,4,0,1928,1,17,0,0.5
"134",145,"McKee, Theodore Alexander",3,2,2,0,0,1947,2,99,0,0.571428571
"135",146,"McKeown, M. Margaret",9,0,0,0,1,1951,1,99,0,0
"136",147,"McLaughlin, Joseph W.",2,4,1,3,0,1933,1,4,1,0.333333333
"137",148,"McMillian, Theodore",8,2,2,0,0,1919,2,4,0,0.435897436
"138",149,"McWilliams, Robert H.",10,1,0,1,0,1916,1,2,1,0.384615385
"139",150,"Melloy, Michael",8,3,3,0,0,1948,1,99,1,0.5
"140",151,"Merritt, Gilbert S.",6,3,1,2,0,1936,1,2,0,0.588235294
"141",152,"Meskill, Thomas J.",2,4,2,2,0,1928,1,4,1,0.142857143
"142",153,"Michael, M. Blane",4,1,1,0,0,1943,1,8,0,0.615384615
"143",154,"Miner, Roger J.",2,4,0,4,0,1934,1,5,1,0.571428571
"144",155,"Moore, Karen",6,3,1,2,1,1948,1,1,0,0.5
"145",156,"Motz, Diana Gribbon",4,2,1,1,1,1943,1,4,0,0.5
"146",157,"Murnaghan, Francis D.",4,3,2,1,0,1920,1,4,0,0.714285714
"147",158,"Murphy, Diana E.",8,2,0,2,1,1934,1,4,0,0.586206897
"148",159,"Murphy, Michael",10,2,1,1,0,1947,1,4,0,0.541666667
"149",160,"Nelson, David A.",6,3,1,2,0,1932,1,9,1,0.25
"150",161,"Nelson, Dorothy Wright",9,2,1,1,1,1928,1,16,0,0.666666667
"151",163,"Newman, Jon O.",2,3,1,2,0,1932,1,5,0,0.333333333
"152",164,"Niemeyer, Paul V.",4,3,0,3,0,1941,1,2,1,0.133333333
"153",165,"Noonan, John T.",9,3,2,1,0,1926,1,4,1,0.285714286
"154",166,"Norris, Alan E.",6,2,1,1,0,1935,1,10,1,0.181818182
"155",167,"Norris, William Albert",9,5,3,2,0,1927,1,99,0,1
"156",168,"Nygaard, Richard L.",3,0,0,0,0,1940,1,7,1,1
"157",169,"O'Scannlain, Diaruid F.",9,8,4,4,0,1937,1,4,1,0.166666667
"158",170,"Oakes, James L.",2,3,2,1,0,1924,1,1,1,0.6
"159",171,"Paez, Richard",9,2,1,1,0,1947,3,17,0,0.666666667
"160",172,"Parker, Fred Irving",2,2,0,2,0,1938,1,10,0,0.461538462
"161",173,"Parker, Robert Manley",5,2,2,0,0,1937,1,8,0,0.384615385
"162",174,"Phillips, James D.",4,4,3,1,0,1922,1,7,0,0
"163",176,"Pooler, Rosemary",2,2,1,1,1,1938,1,5,0,0.6
"164",177,"Porfilio, John",10,3,1,2,0,1934,1,99,1,0.210526316
"165",178,"Posner, Richard A.",7,2,0,2,0,1939,1,5,1,0.068965517
"166",179,"Pregerson, Harry",9,2,1,1,0,1923,1,5,0,1
"167",180,"Randolph, A. Raymond",12,2,1,1,0,1943,1,4,1,0.4
"168",181,"Reavley, Thomas M.",5,4,2,2,0,1921,1,10,0,0.6
"169",182,"Reinhardt, Stephen R.",9,3,1,2,0,1931,1,5,0,0.923076923
"170",183,"Rendell, Marjorie",3,1,0,1,1,1947,1,4,0,0.142857143
"171",184,"Riley, William",8,3,1,2,0,1947,1,99,1,0.666666667
"172",185,"Ripple, Kenneth F.",7,3,3,0,0,1943,1,4,1,0.303030303
"173",186,"Rogers, Judith Ann Wilson",12,3,2,1,1,1939,2,2,0,0.428571429
"174",187,"Roney, Paul H.",5,3,1,2,0,1921,1,7,1,0.125
"175",188,"Rosenn, Max",3,2,0,2,0,1910,1,5,1,0.333333333
"176",189,"Ross, Donald Roe",8,5,4,1,0,1922,1,7,1,0
"177",190,"Roth, Jane R.",3,2,1,1,1,1935,1,2,1,0.4
"178",191,"Rovner, Ilana",7,1,0,1,1,1938,1,5,1,0.344827586
"179",192,"Ryan, James L.",6,4,2,2,0,1932,1,4,1,0.153846154
